년도,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
전국,7.03,7.36,7.7,8.07,8.49,8.86,9.3,9.87,10.23,10.58,10.9,11.24,11.74,12.22,12.7,13.15,13.53,14.21,14.76,15.48
서울특별시,5.42,5.71,6,6.36,6.78,7.19,7.67,8.29,8.73,9.17,9.72,10.19,10.84,11.45,12.04,12.6,13.05,13.8,14.44,15.2
부산광역시,6.03,6.42,6.83,7.27,7.8,8.32,8.92,9.63,10.2,10.78,11.26,11.77,12.5,13.25,13.98,14.65,15.32,16.29,17.14,18.16
대구광역시,5.9,6.23,6.56,6.92,7.38,7.78,8.26,8.86,9.33,9.73,10.04,10.37,10.94,11.56,12.17,12.71,13.24,14.04,14.74,15.56
인천광역시,5.43,5.68,5.93,6.25,6.57,6.87,7.24,7.69,8.02,8.33,8.62,8.94,9.39,9.81,10.26,10.69,11.02,11.7,12.27,13
광주광역시,5.64,5.84,6.09,6.41,6.75,7.09,7.52,8.05,8.33,8.66,8.97,9.32,9.85,10.31,10.83,11.3,11.75,12.36,12.83,13.42
대전광역시,5.47,5.72,5.97,6.26,6.59,6.86,7.21,7.72,8.05,8.39,8.66,8.96,9.38,9.83,10.34,10.9,11.33,12.03,12.65,13.47
울산광역시,4.05,4.23,4.45,4.71,5.03,5.31,5.62,6.02,6.29,6.57,6.82,7.09,7.47,7.91,8.34,8.79,9.28,10.01,10.72,11.55
세종특별자치시,0,0,0,0,0,0,0,0,0,0,0,0,15.22,14.7,12.67,10.62,9.96,9.59,9.29,9.38
경기도,5.69,5.94,6.19,6.48,6.79,7.06,7.4,7.84,8.14,8.42,8.67,8.98,9.39,9.77,10.15,10.53,10.81,11.4,11.87,12.47
강원도,9.26,9.77,10.33,10.91,11.52,12.13,12.75,13.45,13.92,14.36,14.81,15.18,15.71,16.18,16.57,16.89,17.16,18.06,18.75,19.65
충청북도,9.09,9.54,9.97,10.41,10.93,11.33,11.77,12.36,12.67,12.97,13.2,13.4,13.75,14.13,14.5,14.82,15.12,15.83,16.37,17.09
충청남도,11.19,11.75,12.28,12.75,13.06,13.34,13.74,14.31,14.55,14.78,14.87,14.99,15.27,15.64,16.04,16.42,16.7,17.15,17.52,18.21
전라북도,10.29,10.7,11.32,11.76,12.46,12.93,13.49,14.32,14.67,14.97,15.22,15.58,16.21,16.7,17.24,17.84,18.3,18.94,19.51,20.38
전라남도,11.94,12.58,13.35,14.11,14.88,15.58,16.31,17.23,17.63,17.97,18.29,18.61,19.19,19.64,20.14,20.53,20.95,21.54,21.94,22.61
경상북도,10.75,11.23,11.74,12.3,12.94,13.39,13.85,14.57,15.05,15.44,15.57,15.72,16.21,16.76,17.3,17.75,18.23,19.05,19.78,20.61
경상남도,8.44,8.8,9.15,9.49,9.89,10.25,10.65,11.09,11.36,11.63,11.81,12.07,12.5,12.95,13.4,13.79,14.24,14.92,15.51,16.3
제주특별자치도,7.99,8.33,8.72,9.15,9.6,10.01,10.51,11.04,11.45,11.86,12.19,12.6,13.01,13.36,13.57,13.76,13.9,14.17,14.42,14.96
